chartlabels,chartdata
 9/18, 108884
 9/19, 119655
 9/20, 114980
 9/21, 123453
 9/22, 106959
 9/23, 122471
 9/24, 134000
 9/25, 108697
 9/26, 132174
 9/27, 125080
 9/28, 125888
 9/29, 114819
 9/30, 112666
 10/1, 118409
 10/2, 121148
 10/3, 129248
 10/4, 132162
 10/5, 137815
 10/6, 114797
 10/7, 147804
 10/8, 141974
 10/9, 135333
 10/10, 135127
 10/11, 150794
 10/12, 124616
 10/13, 144393
 10/14, 157762
 10/15, 111474
 10/16, 92118
 10/17, 110438
 10/18, 99678
 10/19, 96597
 10/20, 119638
 10/21, 153435
 10/22, 120201
 10/23, 136362
 10/24, 165346
 10/25, 177931
 10/26, 135720
 10/27, 122978
 10/28, 134110
 10/29, 132532
 10/30, 57420
 10/31, 92583
 11/1, 119618
 11/2, 98437
 11/3, 104857
 11/4, 104862
 11/5, 104998
 11/6, 100664
 11/7, 111547
 11/8, 104970
 11/9, 99803
 11/10, 102352
 11/11, 115048
 11/12, 112538
 11/13, 112543
 11/14, 99384
 11/15, 108519
 11/16, 103429
 11/17, 93688
 11/18, 108320
 11/19, 110648
 11/20, 106201
 11/21, 102143
 11/22, 91549
 11/23, 101453
 11/24, 105769
 11/25, 100650
 11/26, 89109
 11/27, 104308
 11/28, 98596
 11/29, 96261
 11/30, 114952
 12/1, 86205
 12/2, 98637
 12/3, 97492
 12/4, 91858
 12/5, 91171
 12/6, 106281
 12/7, 87180
 12/8, 98559
 12/9, 94578
 12/10, 93039
 12/11, 92736
 12/12, 88736
 12/13, 105527
 12/14, 84717
 12/15, 80900
 12/16, 79502
 12/17, 81436
 12/18, 107876
 12/19, 71332
 12/20, 108197
 12/21, 76562
 12/22, 109650
 12/23, 84068
 12/24, 81877
 12/25, 83731
 12/26, 93615
 12/27, 135460
 12/28, 87738
 12/29, 89508
 12/30, 91193
 12/31, 87682
 1/1, 84656
 1/2, 83788
 1/3, 109512
 1/4, 85963
 1/5, 88517
 1/6, 117192
 1/7, 118261
 1/8, 102619
 1/9, 93010
 1/10, 86536
 1/11, 87667
 1/12, 96430
 1/13, 84101
 1/14, 76653
 1/15, 78044
 1/16, 88641
 1/17, 85135
 1/18, 79919
 1/19, 70823
 1/20, 81328
 1/21, 80297
 1/22, 92420
 1/23, 89394
 1/24, 89520
 1/25, 78148
 1/26, 79329
 1/27, 81662
 1/28, 82783
 1/29, 72856
 1/30, 71787
 1/31, 76343
 2/1, 72450
 2/2, 72138
 2/3, 70933
 2/4, 65675
 2/5, 74330
 2/6, 72273
 2/7, 79266
 2/8, 82574
 2/9, 82075
 2/10, 77948
 2/11, 79361
 2/12, 72570
 2/13, 77595
 2/14, 87323
 2/15, 93464
 2/16, 77600
 2/17, 80055
 2/18, 76739
 2/19, 84145
 2/20, 84575
 2/21, 74572
 2/22, 69354
 2/23, 68497
 2/24, 70301
 2/25, 73624
 2/26, 75995
 2/27, 76597
 2/28, 77872
 3/1, 73744
 3/2, 73789
 3/3, 74846
 3/4, 69922
 3/5, 73061
 3/6, 73960
 3/7, 73166
 3/8, 72502
 3/9, 72205
 3/10, 67750
 3/11, 88104
 3/12, 89798
 3/13, 122050
 3/14, 76614
 3/15, 76964
 3/16, 76752
 3/17, 80941
 3/18, 85576
 3/19, 104798
 3/20, 88619
 3/21, 72186
 3/22, 75952
 3/23, 70118
 3/24, 73800
 3/25, 72290
 3/26, 72646
 3/27, 72705
 3/28, 75269
 3/29, 74751
 3/30, 76713
 3/31, 75596
 4/1, 71232
 4/2, 75749
 4/3, 80088
 4/4, 75601
 4/5, 75889
 4/6, 74797
 4/7, 75681
 4/8, 74094
 4/9, 75365
 4/10, 74903
 4/11, 76865
 4/12, 77180
 4/13, 84519
 4/14, 82120
 4/15, 77724
 4/16, 93679
 4/17, 80539
 4/18, 91551
 4/19, 84694
 4/20, 85068
 4/21, 78266
 4/22, 85103
 4/23, 86492
 4/24, 82551
 4/25, 86071
 4/26, 102155
 4/27, 111646
 4/28, 103122
 4/29, 99262
 4/30, 108494
 5/1, 99596
 5/2, 91536
 5/3, 103796
 5/4, 93200
 5/5, 94200
 5/6, 97335
 5/7, 101084
 5/8, 92158
 5/9, 99641
 5/10, 100485
 5/11, 96646
 5/12, 89892
 5/13, 91958
 5/14, 88156
 5/15, 91579
 5/16, 105323
 5/17, 106691
 5/18, 97161
 5/19, 110651
 5/20, 90036
 5/21, 90812
 5/22, 88867
 5/23, 93398
 5/24, 97573
 5/25, 89098
 5/26, 87399
 5/27, 92465
 5/28, 92493
 5/29, 92115
 5/30, 89582
 5/31, 103366
 6/1, 111539
 6/2, 117756
 6/3, 99941
 6/4, 94793
 6/5, 86744
 6/6, 89400
 6/7, 99878
 6/8, 117103
 6/9, 120961
 6/10, 121497
 6/11, 122396
 6/12, 115854
 6/13, 120296
 6/14, 122398
 6/15, 161785
 6/16, 156888
 6/17, 159274
 6/18, 151599
 6/19, 162422
 6/20, 160202
 6/21, 165351
 6/22, 161030
 6/23, 173480
 6/24, 161023
 6/25, 83525
 6/26, 81892
 6/27, 95207
 6/28, 93931
 6/29, 81408
 6/30, 76466
 7/1, 84891
 7/2, 89086
 7/3, 107846
 7/4, 113222
 7/5, 127939
 7/6, 123840
 7/7, 129479
 7/8, 116608
 7/9, 144180
 7/10, 156064
 7/11, 150025
 7/12, 172325
 7/13, 163000
 7/14, 163658
 7/15, 99707
 7/16, 75184
 7/17, 73741
 7/18, 80284
 7/19, 84269
 7/20, 137931
 7/21, 141957
 7/22, 167412
 7/23, 164774
 7/24, 118338
 7/25, 116794
 7/26, 81363
 7/27, 70251
 7/28, 109313
 7/29, 74970
 7/30, 77167
 7/31, 78688
 8/1, 77193
 8/2, 76984
 8/3, 75802
 8/4, 71923
 8/5, 78353
 8/6, 74836
 8/7, 73303
 8/8, 68928
 8/9, 79143
 8/10, 76282
 8/11, 77734
 8/12, 74550
 8/13, 78415
 8/14, 73971
 8/15, 78449
 8/16, 81690
 8/17, 80766
 8/18, 74665
 8/19, 74485
 8/20, 74961
 8/21, 87884
 8/22, 87303
 8/23, 81679
 8/24, 85139
 8/25, 81086
 8/26, 79017
 8/27, 74366
 8/28, 71300
 8/29, 74618
 8/30, 79897
 8/31, 149263
 9/1, 141222
 9/2, 118413
 9/3, 120887
 9/4, 105576
 9/5, 110897
 9/6, 110742
 9/7, 110473
 9/8, 99154
 9/9, 97356
 9/10, 114228
 9/11, 91657
 9/12, 96340
 9/13, 110370
 9/14, 102857
 9/15, 95022
 9/16, 95922
 9/17, 91649
 9/18, 87589
 9/19, 87367
 9/20, 104885
 9/21, 87353
 9/22, 82120
 9/23, 86612
 9/24, 83742
 9/25, 76867
 9/26, 77733
 9/27, 86927
