address,bonded,city,country,delegated,details,email,grade,hasPublicKey,irep,irepUpdateBlockHeight,lastHeight,name,nodeAddress,p2pEndpoint,penalty,power,status,totalBlocks,validatedBlocks,website,delegation,bond,prep_type,rank
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,0x1a784379d99db42000000,Zug,CHE,0x1f78c12eec321f9f031a5d,https://cdn.icon.foundation/details/details.json,hello@icon.foundation,0,0x1,14000.0,19566264,72367078,ICON Foundation,hx9c63f73d3c564a54d0eed84f90718b1ebed16f09,18.176.121.232:7100,0,40000000.0,0,61729105,61555909,https://icon.foundation,38046947.98873662,2000000.0,main,1
hxfba37e91ccc13ec1dab115811f73e429cde44d48,0x152d0fca8c93636dc0000,San Francisco,USA,0x1a62cb8fe8178a6cfbcc60,https://lydialabs.xyz/details.json,hi@lydialabs.xyz,0,0x1,14000.0,19378303,72369109,Lydia Labs,hx81719dcfe8f58ca07044b7bede49cecd61f9bd3f,18.118.232.28:7100,0,32000300.0,0,61820821,61704223,https://lydialabs.xyz,31898618.283912573,1600015.0,main,2
hx3d5c3ce7554f4d762f6396e53b2c5de07074ec39,0xfe1c215e8f838e000000,Singapore,SGP,0x120d055e1a4b2a9d6bccb4,https://icondao.s3-ap-southeast-1.amazonaws.com/icondao.json,icondao@canfoundation.io,0,0x1,14000.0,20252122,72370303,ICON DAO,hx3d5c3ce7554f4d762f6396e53b2c5de07074ec39,18.140.186.29:7100,0,23022154.531875834,0,58578522,58490412,https://twitter.com/icondao,21822154.531875834,1200000.0,main,3
hxe44c986d1c6013c8cafc35edcbd6937985641fce,0xe8ef1e96ae3897800000,Seoul,KOR,0x12c729adc029d3ebb59a7c,https://static-data.parametacorp.com/details.json,hello@parametacorp.com,0,0x1,0.0,55909916,72369109,PARAMETA,hx6602c91a04cf9ffef1ac887445c522d6847cf3f7,52.79.77.39:7100,0,22000000.0,0,16349847,16302747,https://parametacorp.com,22701184.51971436,1100000.0,main,4
hxf680ae11372c48afebbce77c9d8de455e1acc18a,0xd5abdcbfa37bda63c000,Singapore,SGP,0xe58020c1cfae3ebaa9bc4,https://grow3.io/prep/details.json,support@grow3.io,0,0x1,10000.0,37596324,72356004,GROW,hx4e39d214d1e682f2acba7a08c4f7591fb5baaade,18.142.22.234:7100,0,18349601.85213377,0,32952488,32913491,https://grow3.io,17340567.49143377,1009034.3607,main,5
hxca60d4371ad90d624dc7119f81009d799c168aa1,0xbfccc68dac23ce954000,Sydney,AUS,0xee82086a51d19196de5b9,https://devshack-prep-storage.s3-ap-southeast-2.amazonaws.com/json/devshack.json,icon@devshack.team,0,0x1,11200.0,27228224,72369109,FRĀMD,hxca60d4371ad90d624dc7119f81009d799c168aa1,104.197.141.179:7100,0,18114988.826,0,19656784,19574434,https://www.devshack.team,18021150.49663389,905749.4413,main,6
hx231a795d1c719b9edf35c46b9daa4e0b5a1e83aa,0xb8e51bb755a014c00000,Sydney,AUS,0x14336295a6d1b1f18f1724,https://iconosphere.io/details.json,prep@iconosphere.io,0,0x1,13998.0,19955991,72369837,ICONOsphere,hx95248f3757afcb50efa99f529183ba401a82273c,52.36.75.189:7100,0,17462834.688,0,57347550,57243841,https://iconosphere.io,24421175.64737508,873141.7344,main,7
hx1b5c004de7b8591cb571f004fdfa00d74d1099e6,0xd3c21bf253e010c10000,George Town,CYM,0xcf6e369d5cb913e95ca1f,https://binance.com/json,poolvip@binance.com,0,0x1,0.0,44121916,72358139,Binance Node,hx863b7ba01fded0c7139788df152662ae881b8be3,3.215.75.154:7100,0,16673007.037291583,0,27555341,27537687,https://binance.com,15673007.027291583,1000000.01,main,8
hxdc4b3fb5b47d6c14c7f9a0bac8eea9f3f48d3288,0xa52be27d76e24f800000,Singapore,SGP,0xcdd17c2a87510543b7d3a,https://techiast.com/json,contact@techiast.com,0,0x1,0.0,67872918,72370304,Techiast,hxdc4b3fb5b47d6c14c7f9a0bac8eea9f3f48d3288,185.194.101.191:7100,0,15600000.0,0,3808983,3748003,https://techiast.com,15551191.12979319,780000.0,main,9
hx3c58970034d5a923aa95058365450feed28979a2,0xb2acb568f61d8636c000,Sydney,AUS,0xb36fdb95181777f39e195,https://gangstabet.io/details.json,hodl@gangstabet.io,0,0x1,10000.0,41610399,72355284,GangstaVerse,hxed7175f73f63ce8dfeede1db8c4b66179eb7a857,44.237.21.74:7100,0,14401639.33158325,0,28811235,28754777,https://gangstabet.io/,13557872.18568325,843767.1459,main,10
hx28c08b299995a88756af64374e13db2240bc3142,0x943b1377290cbd800000,Dunedin,NZL,0xbaf51bf3ee5aac53e3061,https://parrot9.com/PARROT9.json,hello@parrot9.com,0,0x1,14000.0,19769751,72352270,PARROT9,hx28c08b299995a88756af64374e13db2240bc3142,155.138.134.222:7100,0,14000000.0,0,49482461,49404537,https://parrot9.com,14126106.11723751,700000.0,main,11
hx8e6dcffdf06f850af5d372ac96389135e17d56d3,0xab20e3faa061a1200000,Kyiv,UKR,0x8613ed3a2f216fcb5b182,https://everstake.one/icon.json,inbox@everstake.one,0,0x1,14000.0,20174244,72367820,Everstake,hx3e9deb93255877805d8d81681b41bd2c14d65d0b,95.217.41.106:7100,0,10938766.445905428,0,57873620,57758961,https://everstake.one,10130635.053905427,808131.392,main,12
hx9121c5914ce34f59de52fe15efd6f7982c2ab8ae,0x81c42f53b7bdcec50000,New York,USA,0x877a55d2f89ba87abb1a0,https://icon-staking-details.s3.us-west-2.amazonaws.com/icon-am/details.json,ICON.A.M@protonmail.com,0,0x1,50000.0,15285332,72369729,ICON Asset Management,hxd4382eb39497d2a3c924267d18908fd32e1f8c8f,95.179.159.177:7100,0,10849222.844287686,0,39879599,39815702,https://myicon.finance,10236418.595887687,612804.2484,main,13
hxe4c008b838e8a9a7c065f20f393974de4c86f917,0x7097e2c1148185218000,Wollongong,AUS,0x9c33b5978406fe89b4a2f,https://faucet.reliantnode.com/static/details.json,team@reliantnode.com,0,0x1,14000.0,19688103,72340159,ReliantNode,hxe4c008b838e8a9a7c065f20f393974de4c86f917,185.172.110.74:7100,0,10634136.876,0,55511215,55165518,https://www.reliantnode.com,11802288.645565309,531706.8438,main,14
hx2e7db537ca3ff73336bee1bab4cf733a94ae769b,0x94c30d2e834892cd0000,Melbourne,AUS,0x7a722278327784c7c2c72,https://www.eyeonicon.xyz/api/details.json,fez@fbdconsulting.com,0,0x1,0.0,56432892,72348559,Eye on ICON,hx2e7db537ca3ff73336bee1bab4cf733a94ae769b,65.21.202.45:7100,0,9954254.280802928,0,8823385,8814094,https://www.eyeonicon.xyz,9251745.976402929,702508.3044,main,15
hx6f89b2c25c15f6294c79810221753131067ed3f8,0x60e525fbf5f5ca938000,Paris,FRA,0x7cec47aed2cfaaa223fdf,https://sharpn.tech/cdn/prepsdetailsv5.json,hello@staky.io,0,0x1,14000.0,20132195,72369837,Staky.io | Craft contributor,hx6f89b2c25c15f6294c79810221753131067ed3f8,167.71.4.34:7100,0,9151484.476,0,47459747,47178515,https://staky.io,9438912.652397495,457574.2238,main,16
