address,bonded,city,country,delegated,details,email,grade,hasPublicKey,irep,irepUpdateBlockHeight,lastHeight,name,nodeAddress,p2pEndpoint,penalty,power,status,totalBlocks,validatedBlocks,website,delegation,bond,prep_type,rank
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,0x1a784379d99db42000000,Zug,CHE,0x1c82b976074f5c9b73a4f9,https://cdn.icon.foundation/details/details.json,hello@icon.foundation,0,0x1,14000.0,19566264,75239510,ICON Foundation,hx9c63f73d3c564a54d0eed84f90718b1ebed16f09,18.176.121.232:7100,0,36467251.74448999,0,64618759,64444800,https://icon.foundation,34467251.74448999,2000000.0,main,1
hxfba37e91ccc13ec1dab115811f73e429cde44d48,0x1483a7b44d890bb9c0000,San Francisco,USA,0x198b0ebf3c52e65ab157d4,https://lydialabs.xyz/details.json,hi@lydialabs.xyz,0,0x1,14000.0,19378303,75217047,Lydia Labs,hx81719dcfe8f58ca07044b7bede49cecd61f9bd3f,18.118.232.28:7100,0,31000300.0,0,64710475,64593629,https://lydialabs.xyz,30879826.46588175,1550015.0,main,2
hxe44c986d1c6013c8cafc35edcbd6937985641fce,0xfe1c215e8f838e000000,Seoul,KOR,0x128fd883ff09e134cc213c,https://static-data.parametacorp.com/details.json,hello@parametacorp.com,0,0x1,0.0,55909916,75259138,PARAMETA,hx6602c91a04cf9ffef1ac887445c522d6847cf3f7,52.79.77.39:7100,0,23639957.168165408,0,19239501,19191414,https://parametacorp.com,22439957.168165408,1200000.0,main,3
hx3d5c3ce7554f4d762f6396e53b2c5de07074ec39,0xe4fa24165d54be6bbf3b,Singapore,SGP,0x11c9c8dcb6eaa55cf2cfdb,https://icondao.s3-ap-southeast-1.amazonaws.com/icondao.json,icondao@canfoundation.io,0,0x1,14000.0,20252122,75259511,ICON DAO,hx3d5c3ce7554f4d762f6396e53b2c5de07074ec39,18.140.186.29:7100,0,21626276.8896232,0,61309136,61197721,https://twitter.com/icondao,21504639.849477366,1081313.84448116,main,4
hxca60d4371ad90d624dc7119f81009d799c168aa1,0xc0d8a72c96fab66d0000,Sydney,AUS,0xe6861ff7ac46862b861d3,https://devshack-prep-storage.s3-ap-southeast-2.amazonaws.com/json/devshack.json,icon@devshack.team,0,0x1,11200.0,27228224,75256324,FRĀMD,hxca60d4371ad90d624dc7119f81009d799c168aa1,104.197.141.179:7100,0,18213818.152,0,22546438,22463509,https://www.devshack.team,17417895.332240783,910690.9076,main,5
hx231a795d1c719b9edf35c46b9daa4e0b5a1e83aa,0xb8e51bb755a014c00000,Sydney,AUS,0x10de56f6c1d27d741c9b7d,https://iconosphere.io/details.json,prep@iconosphere.io,0,0x1,13998.0,19955991,75247062,ICONOsphere,hx95248f3757afcb50efa99f529183ba401a82273c,52.36.75.189:7100,0,17462834.688,0,60237204,60132965,https://iconosphere.io,20392782.673745707,873141.7344,main,6
hxf680ae11372c48afebbce77c9d8de455e1acc18a,0xd5abdcbfa37bda63c000,Singapore,SGP,0xd3f8fec5ed277bdb8bd97,https://grow3.io/prep/details.json,support@grow3.io,0,0x1,10000.0,37596324,75257936,GROW,hx4e39d214d1e682f2acba7a08c4f7591fb5baaade,18.142.22.234:7100,0,17025234.02079576,0,35842142,35802664,https://grow3.io,16016199.66009576,1009034.3607,main,7
hx1b5c004de7b8591cb571f004fdfa00d74d1099e6,0xd3c21bf253e010c10000,George Town,CYM,0xcd6e548742505becb8235,https://binance.com/json,poolvip@binance.com,0,0x1,0.0,44121916,75236676,Binance Node,hx863b7ba01fded0c7139788df152662ae881b8be3,3.215.75.154:7100,0,16521925.79794111,0,30444995,30426669,https://binance.com,15521925.787941108,1000000.01,main,8
hxdc4b3fb5b47d6c14c7f9a0bac8eea9f3f48d3288,0xafc263e16787cac00000,Singapore,SGP,0xc49d57bd943f1fc3192d0,https://techiast.com/json,contact@techiast.com,0,0x1,0.0,67872918,75259511,Techiast,hxdc4b3fb5b47d6c14c7f9a0bac8eea9f3f48d3288,185.194.101.191:7100,0,15685780.669351578,0,6586173,6493312,https://techiast.com,14855780.669351578,830000.0,main,9
hxe4c008b838e8a9a7c065f20f393974de4c86f917,0xc4590d1c048498e0c000,Wollongong,AUS,0xbdcdb090c32732945f9dc,https://hanawallet.io/details.json,team@hanawallet.io,0,0x1,14000.0,19688103,75256324,Hana Wallet,hxe4c008b838e8a9a7c065f20f393974de4c86f917,185.172.110.74:7100,0,15268371.6663959,0,58380205,58031237,https://hanawallet.io,14341145.130895901,927226.5355,main,10
