IRC Token,holders,liquidity,Amount,No. of Transactions,Price in USD,Value Transferred in USD
bnUSD,10064.0,1953290.8448622387,223528.07276469143,790.0,1.0025685949047505,224102.2258334635
BST,458.0,87.43370704001511,125.83831873170837,706.0,1.2130226197578469,152.6447270538598
FRMD,989.0,19084.585403893096,38263.957366797775,677.0,0.01150417201723639,440.19514760784114
sICX,12233.0,1756782.634351205,387172.7802911052,340.0,0.2909819926419762,112660.30710583985
$unknown,,,142108.03286033182,148.0,,
CODE,258.0,0.9631508490180736,555554.0,97.0,5.544072384167488e-06,3.0800315893137844
BALN,16566.0,515893.1513803547,22063.495726005032,66.0,0.21522061598009695,4748.519140825039
GBET,2923.0,3614.153800691033,8854.0,59.0,0.0011328768770957182,10.03049186980549
INJ,18.0,117919.27416284833,248.229106067989,54.0,25.05481283625812,6219.333793045129
CROWN,1294.0,5916.308582709715,29640.72585328821,42.0,0.0015817067107579373,46.88293499388225
AVAX,38.0,194632.4819264171,696.3717965753443,42.0,37.242786660701626,25934.82625638506
FIN,2279.0,4385.505090568451,2353.0511241040317,40.0,0.015564756112935325,36.62466686794757
CFT,19458.0,37764.486680517395,594738.9037517591,36.0,0.0025806644988563276,1534.821575000895
ETH,172.0,87404.66396244765,2.5374439120316543,35.0,3101.2883189701183,7869.34516442561
BTCB,165.0,6939.495696245289,0.006480266298925567,19.0,67902.3493917772,440.02530638140274
IUSDC,5615.0,22888.27751039225,128.683697,11.0,0.6296630142778779,81.0273645414411
OMM,13921.0,15379.606863601368,41825.99347772399,8.0,0.0039215412529226236,164.02235886736722
archUSDC,43.0,11.136329274569023,32251.100000000002,6.0,1.023966439110189,33024.04402438662
BNB,26.0,118135.70860448603,31.403205782149065,6.0,579.5008304586673,18198.18382981981
USDS,5459.0,1575.2986573047785,0.17323271029751586,5.0,0.13997667043379902,0.02424853799766916
oIUSDC,5615.0,22888.27751039225,1.111308,4.0,0.6296630142778779,0.6997495450711199
oUSDS,5459.0,1575.2986573047785,0.6383033106150516,4.0,0.13997667043379902,0.08934757214676593
finMICX,12233.0,1756782.634351205,0.000891665261757149,2.0,0.2909819926419762,0.00025945853463572453
sARCH,137.0,42620.82768670554,4112.00388,2.0,0.12399515240661381,509.8685477971874
XCROWN,1294.0,5916.308582709715,848.3510973223619,1.0,0.0015817067107579373,1.3418426237136398
ICX,,,,,0.230143719,
