,address,estimatedICX,stake,totalDelegated,balance,unstake,unstakeBlockHeight,remainingBlocks,totalBonded,total,names,date
0,hx0cdf40498ef03e6a48329836c604aa4cea48c454,0.0,0.0,0.0,2171206.6050555804,0.0,0.0,0.0,0.0,2171206.6050555804,bithumb_02,2021_01_22
1,hx14ea4bca6f205fecf677ac158296b7f352609871,0.0,0.0,0.0,19547.804049173432,0.0,0.0,0.0,0.0,19547.804049173432,latoken,2021_01_22
2,hx1729b35b690d51e9944b2e94075acff986ea0675,0.0,0.0,0.0,31803446.0,0.0,0.0,0.0,0.0,31803446.0,binance_cold_01,2021_01_22
3,hx23cb1d823ef96ac22ae30c986a78bdbf3da976df,9942.398609282734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bitvavo_cold_01,2021_01_22
4,hx294c5d0699615fc8d92abfe464a2601612d11bf7,0.0,0.0,0.0,3446251.1923940605,0.0,0.0,0.0,0.0,3446251.1923940605,crypto.com_hot_02,2021_01_22
5,hx307c01535bfd1fb86b3b309925ae6970680eb30d,21457.841814372405,900000.0,900000.0,62216.60669547443,0.0,0.0,0.0,0.0,962216.6066954744,velic_hot,2021_01_22
6,hx3881f2ba4e3265a11cf61dd68a571083c7c7e6a5,0.0,0.0,0.0,178891.89870694195,0.0,0.0,0.0,0.0,178891.89870694195,coinex,2021_01_22
7,hx49b1556654e51f52d59a8222b4737ee7dccc6d1b,0.0,0.0,0.0,133917193.85231134,0.0,0.0,0.0,0.0,133917193.85231134,upbit_cold_02,2021_01_22
8,hx4a01996877ac535a63e0107c926fb60f1d33c532,0.0,0.0,0.0,1745024.9260612398,0.0,0.0,0.0,0.0,1745024.9260612398,upbit_hot_03,2021_01_22
9,hx562dc1e2c7897432c298115bc7fbcc3b9d5df294,0.0,0.0,0.0,0.0007500023247355,0.0,0.0,0.0,0.0,0.0007500023247355,upbit_cold_01,2021_01_22
10,hx6332c8a8ce376a5fc7f976d1bc4805a5d8bf1310,0.0,0.0,0.0,1760344.2849731604,0.0,0.0,0.0,0.0,1760344.2849731604,upbit_hot_01,2021_01_22
11,hx68646780e14ee9097085f7280ab137c3633b4b5f,0.0,0.0,0.0,20219829.476570405,0.0,0.0,0.0,0.0,20219829.476570405,kraken_hot,2021_01_22
12,hx6b91c8dea3114de74ecfa85908b875778c2b599c,0.0,0.0,0.0,330656.5775716004,0.0,0.0,0.0,0.0,330656.5775716004,bybit,2021_01_22
13,hx6d14b2b77a9e73c5d5804d43c7e3c3416648ae3d,0.0,0.0,0.0,9874662.249339646,0.0,0.0,0.0,0.0,9874662.249339646,bithumb_03,2021_01_22
14,hx6eb81220f547087b82e5a3de175a5dc0d854a3cd,0.0,0.0,0.0,0.00075,0.0,0.0,0.0,0.0,0.00075,bithumb_01,2021_01_22
